Property No. ,Type of Access (X2),Neighbourhood Status (X3),Building Condition (X4),Type of Walls (X5),Type of Wall finish (X6),Type of Floor Finish (X7),Type of Ceiling (X8),NWSC Availabilty (X9),Hydro Power Availabilty (X10),Type of Saniation Facility (X11),Availabilty of Parking Space (X12),Type of Security (X13),Type of Boundary Wall (X14),Occupency Type ,Carpet Area ,Usage Type,Usage SubType,ALV,RV,Property Tax,Avg. Property Rate (per SQM)
P117000004,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,GYPSUM,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,CCTV,WALL,RENTED,372.94,INDUSTRIAL,Showroom,16433228.57,11503260,690195.6,1850.69
P117000005,Main Road,HIGH CLASS,FAIR,METALLIC SHEETING,PAINTED,CERAMIC TILES,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,250.99,COMMERCIAL,Restaurant,25279138.57,17695397,1061723.82,4230.14
P117000006,Main Road,MIDDLE CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,NONE,RENTED,23365,COMMERCIAL,Retail_Space,2140320671,1498224470,89893468.2,3847.36
P117000162,Main Road,HIGH CLASS,POOR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,NONE,RENTED,737,COMMERCIAL,Retail_Space_Rear_Room,75775391.43,53042774,3182566.44,4318.27
P117000164,Main Road,HIGH CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,832.95,COMMERCIAL,Retail_Space_Office_Space,150981624.3,105687137,6341228.22,7612.98
P117000165,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,TERRAZZO,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,NONE,RENTED,2790.75,COMMERCIAL,Retail_Space,371428571.4,260000000,15600000,5589.90
P117000166,Main Road,HIGH CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,244.26,COMMERCIAL,Retail_Space_Office_Space,34979985.71,24485990,1469159.4,6014.74
P117000168,Main Road,MIDDLE CLASS,FAIR,BRICKS,CLAY BRICKS,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,NONE,RENTED,4455,COMMERCIAL,Retail_Space,472766665.7,330936666,19856199.96,4457.06
P117000169,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,GYPSUM,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,56.8,COMMERCIAL,Office_Space,2502835.714,1751985,105119.1,1850.69
P117000171,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,24.86,COMMERCIAL,Stores,1095431.043,766801.73,46008.1038,1850.69
P117000176,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,GYPSUM,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL FENCE,RENTED,922.58,COMMERCIAL,Retail_Space,120583024.3,84408117,5064487.02,5489.48
P117000178,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,27.41,COMMERCIAL,Retail_Space,3450840,2415588,144935.28,5287.68
P117000180,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,NONE,RENTED,735.6,COMMERCIAL,Retail_Space_Office_Space,134455910,94119137,5647148.22,7676.93
P117000181,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,PVC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,193.67,COMMERCIAL,GuestHouse_Lodge_Motel,17280000,12096000,725760,3747.41
P117000182,Side Road,MIDDLE CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,WALL,RENTED,261.8,COMMERCIAL,Bar_Club,4320000,3024000,181440,693.05
P117000183,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,WALL,RENTED,119.65,COMMERCIAL,GuestHouse_Lodge_Motel,9411428.571,6588000,395280,3303.64
P117000185,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,RAZOR WIRE,CHAIN LINK,RENTED,160.51,COMMERCIAL,Office_Space,22888384.29,16021869,961312.14,5989.11
P117000186,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL FENCE,RENTED,263.26,COMMERCIAL,Retail_Space,32228018.57,22559613,1353576.78,5141.60
P117000187,Side Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,PITLATRINE,YES,NONE,NONE,RENTED,95.17,RESIDENTIALRENTED,TenementMuzigo,5400000,4212000,252720,2655.46
P117000188,Side Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,YES,NONE,NONE,RENTED,15.94,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,5284.82
P117000189,Side Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,WALL,RENTED,2661.95,INDUSTRIAL,Office_Warehouse,78197442.86,54738210,3284292.6,1233.79
P117000190,Side Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,217.63,COMMERCIAL,Office_Space,3523357.143,2466350,147981,679.97
P117000191,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,WALL FENCE,RENTED,291.79,RESIDENTIALRENTED,TenementMuzigo,16200000,12636000,758160,2598.31
P117000192,Side Road,HIGH CLASS,DILAPIDATED,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,YES,NONE,WALL,RENTED,18.9,COMMERCIAL,Container,971611,582967,34978.02,1850.69
P117000193,Main Road,HIGH CLASS,GOOD,METALLIC SHEETING,PAINTED,CERAMIC TILES,ACOUSTIC,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,5488.96,INDUSTRIAL,Factoryblock,366149514.3,256304660,15378279.6,2801.67
P117000198,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,183.09,INDUSTRIAL,Office_Warehouse,10756904.29,7529833,451789.98,2467.58
P117000199,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,GYPSUM,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,187.68,COMMERCIAL,Office_Space,13783218.57,9648253,578895.18,3084.48
P117000200,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,1207.8,COMMERCIAL,Parking_Space,53220498.57,37254349,2235260.94,1850.69
P117000201,Main Road,HIGH CLASS,POOR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,294.7,INDUSTRIAL,Stores,8657107.143,6059975,363598.5,1233.79
P117000202,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,NONE,RENTED,529.48,INDUSTRIAL,Office_Warehouse,27381528.57,19167070,1150024.2,2171.99
P117000204,Side Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,908,INDUSTRIAL,Office_Warehouse,53346815.71,37342771,2240566.26,2467.58
P117000205,Side Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,718.39,RESIDENTIALRENTED,Apartment,104435809,62661485,3759689.1,5233.49
P117000211,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,PLYWOOD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,121.08,COMMERCIAL,Office_Space,6025417.143,4217792,253067.52,2090.09
P117000213,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,TERRAZZO,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,8203.59,COMMERCIAL,Retail_Space_Office_Space,1163127297,814189108,48851346.48,5954.87
P117000215,Main Road,HIGH CLASS,POOR,BRICKS,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,CHAIN LINK,RENTED,34.42,INSTITUTIONAL,Store_Kitchen,252780,176946,10616.76,308.45
P117000216,Main Road,HIGH CLASS,GOOD,BRICKS,CLAY BRICKS,TERRAZZO,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,CHAIN LINK,RENTED,220.27,RESIDENTIALRENTED,Mainbuilding,8100000,6318000,379080,1720.98
P117000217,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,CHAIN LINK,RENTED,51.59,RESIDENTIALRENTED,TenementMuzigo,3600000,2808000,168480,3265.75
P117000218,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,CHAIN LINK,RENTED,42.45,RESIDENTIALRENTED,TenementMuzigo,2700000,2106000,126360,2976.68
P117000219,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,1048.82,INSTITUTIONAL,Classroom_Lecture_rooms,53917738.57,37742417,2264545.02,2159.14
P117000220,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,449.96,INSTITUTIONAL,Classroom_Lecture_rooms,23131544.29,16192081,971524.86,2159.14
P117000221,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,360.76,INSTITUTIONAL,Classroom_Lecture_rooms,18545950,12982165,778929.9,2159.14
P117000222,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,638.01,INSTITUTIONAL,Classroom_Lecture_rooms,32799127.14,22959389,1377563.34,2159.16
P117000223,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,147.94,INSTITUTIONAL,Classroom_Lecture_rooms,7605300,5323710,319422.6,2159.14
P117000224,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,234.26,INSTITUTIONAL,Classroom_Lecture_rooms,12042838.57,8429987,505799.22,2159.14
P117000225,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,129.415,INSTITUTIONAL,Classroom_Lecture_rooms,6653222.857,4657256,279435.36,2159.22
P117000226,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,56.74,INSTITUTIONAL,Office,2916890,2041823,122509.38,2159.14
P117000227,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,42.77,INSTITUTIONAL,Residentialbuilding,5014285.714,3510000,210600,4924.01
P117000228,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,520.13,INSTITUTIONAL,Residentialbuilding,92262857.14,64584000,3875040,7450.14
